model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,info_mae,info_rmse,info_r2
xgboost,with_wsi_wind,0,2024-10-19 18:00:00,14587.0,11938.173,-2648.8271484375,2648.8271484375,7016285.262299538,18.158820514401068,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,1,2024-10-19 19:00:00,15062.25,11938.173,-3124.0771484375,3124.0771484375,9759858.02938938,20.74110540215058,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,2,2024-10-19 20:00:00,15401.25,11938.173,-3463.0771484375,3463.0771484375,11992903.336030006,22.48568881379921,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,3,2024-10-19 21:00:00,14072.75,11400.817,-2671.9326171875,2671.9326171875,7139223.910790443,18.986570621844358,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,4,2024-10-19 22:00:00,14483.5,10199.679,-4283.8212890625,4283.8212890625,18351124.8366251,29.57725196989362,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,5,2024-10-19 23:00:00,14152.5,10199.679,-3952.8212890625,3952.8212890625,15624796.143265724,27.93019812089529,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,6,2024-10-20 00:00:00,13325.75,9234.083,-4091.6669921875,4091.6669921875,16741738.774956703,30.704965890733572,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,7,2024-10-20 01:00:00,12414.0,8306.224,-4107.7763671875,4107.7763671875,16873826.682824135,33.089869237829795,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,8,2024-10-20 02:00:00,12115.0,9234.083,-2880.9169921875,2880.9169921875,8299682.715874672,23.779752308585405,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,9,2024-10-20 03:00:00,11897.25,9234.083,-2663.1669921875,2663.1669921875,7092458.428277016,22.38472749740706,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,10,2024-10-20 04:00:00,11846.5,9234.083,-2612.4169921875,2612.4169921875,6824722.541069984,22.05222633001557,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,11,2024-10-20 05:00:00,11822.5,9073.579,-2748.9208984375,2748.9208984375,7556566.105866432,23.251604131403464,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,12,2024-10-20 06:00:00,11933.75,7882.3154,-4051.4345703125,4051.4345703125,16414122.077523232,33.9493836414296,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,13,2024-10-20 07:00:00,11748.5,8021.753,-3726.7470703125,3726.7470703125,13888643.726082802,31.721045838271504,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,14,2024-10-20 08:00:00,11833.0,9917.121,-1915.87890625,1915.87890625,3670591.983413696,16.19098205229765,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,15,2024-10-20 09:00:00,13405.25,10313.815,-3091.4345703125,3091.4345703125,9556967.702523232,23.061372002090177,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,16,2024-10-20 10:00:00,14577.25,12215.984,-2361.265625,2361.265625,5575575.351806641,16.198292716379154,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,17,2024-10-20 11:00:00,14957.25,12215.984,-2741.265625,2741.265625,7514537.226806641,18.327337077324824,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,18,2024-10-20 12:00:00,16896.5,14449.526,-2446.9736328125,2446.9736328125,5987679.959679604,14.482133180309836,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,19,2024-10-20 13:00:00,18144.75,14449.526,-3695.2236328125,3695.2236328125,13654677.69649601,20.36524963314713,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,20,2024-10-20 14:00:00,21086.0,15140.217,-5945.783203125,5945.783203125,35352337.898563385,28.197776738699517,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,21,2024-10-20 15:00:00,25233.75,15043.739,-10190.0107421875,10190.0107421875,103836318.92589664,40.38246690318903,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,22,2024-10-20 16:00:00,27759.75,17649.693,-10110.056640625,10110.056640625,102213245.27664566,36.419840382645226,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,23,2024-10-20 17:00:00,29930.0,23161.848,-6768.15234375,6768.15234375,45807886.14820862,22.61327211409201,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,24,2024-10-20 18:00:00,30683.0,24899.582,-5783.41796875,5783.41796875,33447923.401260376,18.84893253185189,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,25,2024-10-20 19:00:00,29967.25,27757.977,-2209.2734375,2209.2734375,4880889.121643066,7.372292878056087,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,26,2024-10-20 20:00:00,29288.0,27757.977,-1530.0234375,1530.0234375,2340971.7192993164,5.224062542677812,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,27,2024-10-20 21:00:00,29527.5,27757.977,-1769.5234375,1769.5234375,3131213.1958618164,5.992798027260691,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,28,2024-10-20 22:00:00,28642.75,27757.977,-884.7734375,884.7734375,782824.0357055664,3.0889961246727045,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,29,2024-10-20 23:00:00,28022.5,26526.902,-1495.59765625,1495.59765625,2236812.349380493,5.337131434559608,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,30,2024-10-21 00:00:00,27148.25,26526.902,-621.34765625,621.34765625,386072.90992736816,2.288720842963252,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,31,2024-10-21 01:00:00,25185.0,26526.902,1341.90234375,1341.90234375,1800701.9001617432,5.328180836805508,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,32,2024-10-21 02:00:00,26025.0,23668.508,-2356.4921875,2356.4921875,5553055.429748535,9.05472502401189,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,33,2024-10-21 03:00:00,26061.5,22386.414,-3675.0859375,3675.0859375,13506256.648010254,14.101590228876274,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
xgboost,with_wsi_wind,34,2024-10-21 04:00:00,24426.0,22386.414,-2039.5859375,2039.5859375,4159910.796447754,8.350061154094673,2025-11-27 20:20:00,0.9657705444778502,0.2881678555588717,3,5,600,0.9199326446810466,0.001902087384877,0.8296083584334565,3819.906753843999,4762.989141792153,0.8632001700759993
